"complications.hospitals","MORT_30_STK","MORT_30_STK_Standard.Error","COMP_HIP_KNEE","COMP_HIP_KNEE_Standard.Error","MORT_30_CABG","MORT_30_CABG_Standard.Error","PSI_10_POST_KIDNEY","PSI_10_POST_KIDNEY_Standard.Error","PSI_12_POSTOP_PULMEMB_DVT","PSI_12_POSTOP_PULMEMB_DVT_Standard.Error","PSI_14_POSTOP_DEHIS","PSI_14_POSTOP_DEHIS_Standard.Error","PSI_4_SURG_COMP","PSI_4_SURG_COMP_Standard.Error","PSI_6_IAT_PTX","PSI_6_IAT_PTX_Standard.Error","PSI_90_SAFETY","PSI_90_SAFETY_Standard.Error"
40036,"15.1",1.78571428571429,"2.6",0.816326530612245,"4.8",1.93877551020408,"1.28",0.448979591836735,"2.69",1.24489795918367,"1.97",1.10204081632653,"135.55",20.7142857142857,"0.44",0.137755102040816,"0.92",0.137755102040816
40039,"14.0",2.29591836734694,"3.3",1.22448979591837,NA,NA,NA,NA,"5.67",1.69387755102041,"2.22",1.16836734693878,NA,NA,"0.36",0.153061224489796,"1.03",0.198979591836735
40041,"15.2",2.44897959183674,"3.1",1.07142857142857,NA,NA,"1.11",0.489795918367347,"4.60",1.62755102040816,"2.20",1.16326530612245,NA,NA,"0.41",0.147959183673469,"0.95",0.188775510204082
40047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.39",0.158163265306122,"0.99",0.209183673469388
40050,"14.7",2.44897959183674,"2.9",1.02040816326531,NA,NA,"1.11",0.489795918367347,"3.96",1.75510204081633,NA,NA,NA,NA,"0.39",0.153061224489796,"1.00",0.198979591836735
40051,"15.0",2.5,NA,NA,NA,NA,NA,NA,"4.29",1.83163265306122,NA,NA,NA,NA,"0.39",0.153061224489796,"0.98",0.209183673469388
40055,"15.2",1.63265306122449,"3.0",0.816326530612245,"4.2",1.27551020408163,"1.08",0.438775510204082,"4.42",1.18877551020408,"3.13",1.11734693877551,"103.39",19.4336734693877,"0.35",0.127551020408163,"1.18",0.13265306122449
40062,"15.8",1.78571428571429,"2.6",0.561224489795918,"3.3",1.63265306122449,"1.19",0.464285714285714,"2.86",1.20408163265306,"2.01",1.11224489795918,"115.98",18.6020408163265,"0.38",0.13265306122449,"0.78",0.142857142857143
40067,"14.9",2.70408163265306,NA,NA,NA,NA,"1.11",0.489795918367347,"5.69",1.81122448979592,NA,NA,NA,NA,"0.39",0.153061224489796,"1.03",0.198979591836735
40069,NA,NA,NA,NA,NA,NA,"1.12",0.48469387755102,"4.23",1.81632653061224,NA,NA,NA,NA,"0.39",0.153061224489796,"1.02",0.198979591836735
40071,"14.6",1.73469387755102,"3.1",0.918367346938776,"3.3",1.88775510204082,"1.02",0.464285714285714,"4.03",1.42857142857143,"2.11",1.13775510204082,"135.66",21.4234693877551,"0.34",0.142857142857143,"1.07",0.163265306122449
40072,"15.5",2.6530612244898,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.39",0.153061224489796,"0.98",0.209183673469388
