"providers","HAI_1_CI_LOWER","HAI_1_CI_UPPER","HAI_3_CI_LOWER","HAI_3_CI_UPPER","HAI_5_CI_LOWER","HAI_5_CI_UPPER"
50204,"0.636","3.848","0.016","1.569",NA,"1.765"
50205,NA,NA,NA,NA,NA,NA
50211,"0.331","6.517",NA,NA,NA,NA
50222,"0.009","0.919","0.199","2.125","0.227","2.426"
50224,"0.840","2.637","0.581","1.922",NA,"0.531"
50225,NA,NA,NA,NA,NA,NA
50226,NA,"0.817","0.028","2.799","0.141","2.786"
50228,"0.290","1.310","0.700","4.236","0.236","1.427"
50230,NA,NA,NA,NA,NA,NA
50231,"0.432","1.765","0.016","1.540","0.160","1.711"
50232,"0.029","2.906","0.041","4.063",NA,NA
50234,NA,NA,NA,NA,NA,NA
50235,"0.334","1.713","0.168","1.794","0.015","1.444"
50236,"0.869","6.595","0.036","3.556",NA,NA
50238,"0.054","1.069","0.012","1.181","0.235","2.512"
50239,"0.494","1.858","0.312","3.335","0.525","2.694"
50242,"0.124","1.330","0.015","1.491","0.024","2.398"
50243,"0.991","2.583",NA,"0.837","0.144","1.544"
50245,"0.075","0.801","0.502","2.577","0.159","1.205"
50248,"0.455","3.452","0.440","4.709","0.515","5.506"
50254,NA,"1.482",NA,"1.819",NA,NA
50257,NA,NA,NA,NA,NA,NA
50261,NA,NA,NA,NA,NA,NA
50262,"0.656","1.144","0.550","2.250","0.517","1.487"
50272,NA,"0.509",NA,"1.136","0.177","3.483"
50276,"0.805","6.111","0.172","3.399","0.030","3.004"
50278,"0.262","1.585","0.303","2.301","0.761","3.905"
50279,NA,NA,NA,NA,NA,NA
50280,"0.382","1.727","0.165","1.763","0.581","2.981"
50281,NA,"2.310",NA,"1.454",NA,NA
50283,"0.457","3.467","0.198","3.903",NA,"2.030"
50289,"0.312","2.372",NA,"2.677",NA,NA
50290,"0.362","2.190","0.299","2.268","0.182","3.593"
50291,"0.184","1.969","0.137","2.697",NA,"2.718"
50292,"0.118","0.899","0.354","3.789","0.201","1.526"
50295,"0.402","2.065","0.028","2.751","0.352","3.764"
50296,NA,NA,NA,NA,NA,NA
50298,NA,NA,NA,NA,NA,NA
50300,"0.610","3.129","0.428","3.249","0.262","2.804"
50301,NA,NA,"0.277","5.465",NA,NA
50305,"0.757","2.656","0.024","2.346","0.017","1.724"
50308,"0.180","1.090","0.106","1.139","0.083","1.645"
50309,"0.083","0.885","0.143","1.528","0.369","2.797"
50313,"0.047","4.627",NA,NA,NA,NA
50315,"0.056","1.094","0.116","2.286","0.146","2.873"
50320,"0.306","1.569","0.338","2.565","0.112","2.217"
50324,"0.268","1.212","0.062","1.228","0.173","1.855"
50327,"0.804","1.613","1.622","3.836","0.740","2.322"
50329,NA,"2.023",NA,"1.874",NA,NA
50334,"1.037","5.324",NA,"1.258","0.029","2.871"
50335,NA,NA,"0.279","5.502",NA,NA
50336,"0.022","2.205",NA,NA,"0.247","4.873"
50342,"0.046","4.508",NA,NA,NA,NA
50348,"0.291","0.781","0.469","1.646","0.583","1.927"
50350,"0.382","4.089",NA,NA,"0.030","2.991"
50351,"0.356","1.118","0.534","2.184","0.080","1.575"
50352,NA,NA,NA,NA,NA,NA
50353,"0.090","1.769","0.010","1.026","0.013","1.301"
50357,NA,NA,NA,NA,NA,NA
50359,"0.583","6.242",NA,NA,NA,NA
50360,"0.292","2.216",NA,NA,"0.467","4.994"
50367,"0.320","3.419","0.018","1.734","0.025","2.451"
50373,"1.238","2.210",NA,"1.437","0.142","0.726"
50376,"0.409","1.434","0.222","4.367","0.447","1.829"
50378,NA,NA,NA,NA,NA,NA
50380,"0.860","2.579","2.586","5.781","1.034","3.890"
50382,"0.027","0.533","0.073","1.439","0.400","2.422"
50390,"0.083","1.642","0.458","4.898","0.559","4.243"
50393,"0.423","4.523",NA,NA,"0.231","4.545"
50394,NA,"0.553","0.021","2.052","0.288","3.078"
50396,"0.100","1.068","0.017","1.645","0.096","1.889"
50397,NA,NA,NA,NA,NA,NA
50407,NA,NA,NA,NA,NA,NA
50411,"0.178","1.901",NA,"0.858","0.142","2.789"
50414,NA,"1.031","0.139","2.748",NA,NA
50417,NA,NA,NA,NA,NA,NA
50423,NA,NA,NA,NA,NA,NA
50424,"0.110","2.166","0.284","2.158","0.829","6.290"
50425,"0.181","1.375","0.790","3.230","0.154","3.041"
50426,"0.131","2.573",NA,NA,"0.025","2.500"
50438,"0.285","1.163","0.330","1.695","0.346","1.566"
50441,"1.035","1.848","0.697","1.872","0.659","1.769"
50444,"0.463","2.799",NA,"1.568",NA,"1.587"
50454,"0.670","1.239","0.969","2.290","0.365","1.049"
50455,"0.108","0.819","0.010","1.018",NA,"0.856"
50457,NA,"1.390",NA,NA,"0.606","6.485"
50464,"0.153","0.926","0.603","2.729","0.676","1.946"
50468,"0.030","2.918",NA,NA,"1.171","8.893"
50471,"0.617","1.937",NA,"1.964","0.348","2.638"
50481,"0.121","1.298","0.409","4.376","0.783","4.736"
50485,"0.360","1.189","0.365","1.875","0.009","0.903"
50488,"0.759","2.856","0.018","1.814","0.401","4.290"
50492,"1.681","4.263","0.014","1.333","0.296","3.168"
50496,"0.303","1.835","0.207","2.210","0.364","3.890"
50498,"0.238","4.690","0.039","3.832",NA,NA
50502,"1.283","4.828","0.031","3.059","0.675","4.083"
50503,"0.030","2.930","1.091","4.459","0.430","4.602"
50506,"0.035","3.427","0.200","3.950",NA,NA
50510,"0.026","2.558",NA,"1.513",NA,NA
50512,NA,"2.098","0.153","3.006",NA,NA
50515,"0.091","0.973","0.701","2.639",NA,"0.577"
50516,"0.246","1.008","0.170","1.817","0.172","1.303"
50517,"0.585","4.442","0.808","6.134",NA,NA
50523,"0.332","3.553",NA,NA,"0.612","6.553"
50526,"0.328","6.459",NA,NA,NA,NA
50528,NA,NA,NA,NA,NA,NA
50534,"0.353","3.773",NA,NA,NA,NA
50537,NA,NA,NA,NA,NA,NA
50541,"0.227","4.477","0.423","4.528","0.042","4.151"
50543,NA,NA,NA,NA,NA,NA
50549,"0.133","1.423","0.267","2.026","0.393","2.983"
50551,"0.456","2.758","0.393","4.209","0.723","5.488"
50557,"0.258","1.326","0.129","1.383","0.179","1.912"
50561,"0.026","2.589","0.162","1.729","0.208","4.097"
50567,"0.671","2.219","0.368","2.225","0.101","1.985"
50568,NA,NA,NA,"2.191",NA,NA
50570,"0.149","1.131","0.014","1.407","0.011","1.080"
50573,"0.456","1.865","0.469","2.407","0.280","2.129"
50580,NA,NA,NA,NA,NA,NA
50581,"0.797","3.257",NA,"2.539","1.044","6.318"
50586,NA,NA,NA,NA,NA,NA
50588,"0.457","4.889",NA,NA,NA,NA
50589,NA,NA,"0.545","5.828",NA,NA
50590,"0.843","3.448","0.185","3.655","0.406","4.341"
50597,"0.163","3.220","0.030","2.936",NA,NA
50599,"0.483","0.930","0.681","2.390","0.587","1.530"
50603,"0.105","2.062","0.245","2.619",NA,"1.514"
50604,"0.115","2.267","0.620","3.184","0.173","3.415"
50608,NA,NA,NA,NA,NA,NA
50609,"0.005","0.539","0.102","1.095","0.157","1.680"
50616,NA,"2.083",NA,"2.045",NA,NA
50624,"0.095","1.014",NA,"1.711","0.145","2.859"
50625,"0.514","0.990","1.112","2.406","0.178","0.803"
50633,NA,NA,NA,NA,NA,NA
50636,"0.956","5.781","0.030","2.962",NA,NA
50641,NA,"2.492",NA,NA,NA,NA
50663,NA,NA,NA,NA,"3.916","12.945"
50668,NA,NA,NA,NA,NA,NA
50674,"0.376","1.537","0.731","3.307",NA,"1.711"
50677,"1.608","6.574","0.071","1.390","0.033","3.207"
50678,NA,"0.736","0.008","0.781",NA,"2.594"
50684,NA,"2.867",NA,NA,NA,NA
50686,"0.194","2.075","0.013","1.235","0.336","3.592"
50688,NA,NA,NA,NA,NA,NA
50689,"1.832","11.083","0.233","4.582",NA,NA
50690,"0.290","2.200","0.691","3.546",NA,"2.379"
50696,"0.649","1.568","0.747","2.345","0.400","2.052"
50697,NA,NA,NA,NA,NA,NA
50701,"0.013","1.272",NA,"0.601","0.328","3.507"
50704,"0.151","2.971",NA,NA,"0.048","4.751"
50708,NA,NA,NA,NA,NA,NA
50709,NA,"1.125",NA,NA,NA,"2.486"
50710,"0.085","1.680","0.560","4.254",NA,"2.241"
50714,NA,NA,NA,NA,NA,NA
50717,"0.013","1.293",NA,NA,NA,"2.571"
50723,"0.344","2.609","0.073","1.432","0.028","2.771"
50724,NA,"1.506",NA,NA,NA,NA
50726,NA,NA,NA,NA,NA,NA
50727,"0.127","2.493",NA,NA,NA,NA
50735,NA,NA,NA,NA,"0.274","5.394"
50736,"0.042","4.127",NA,NA,NA,NA
50737,"0.624","3.776",NA,"1.639","0.017","1.721"
50738,"0.267","5.257",NA,NA,NA,NA
50739,"0.254","1.926",NA,"0.655","0.922","4.732"
50740,"0.621","6.643",NA,NA,NA,NA
50742,"3.655","10.141",NA,NA,"0.514","5.502"
50744,"0.866","6.573",NA,NA,NA,NA
50745,NA,NA,NA,NA,NA,NA
50746,"0.360","1.847",NA,"2.049","0.021","2.051"
50747,"0.275","5.421",NA,NA,NA,NA
50748,"0.055","1.078","0.008","0.822","0.029","2.838"
50751,NA,NA,NA,NA,NA,NA
50754,NA,NA,NA,NA,NA,NA
50755,"0.023","2.302",NA,NA,"0.743","7.950"
50757,"0.872","5.275",NA,NA,"1.668","10.093"
50758,NA,NA,NA,NA,NA,NA
50760,NA,"1.476","1.299","5.877",NA,"2.764"
50761,"0.207","1.573","0.377","2.859","1.224","5.536"
50763,NA,"2.254",NA,NA,NA,NA
50764,"0.307","3.282","0.544","4.132","0.364","3.890"
50765,NA,NA,NA,NA,NA,NA
50766,NA,NA,NA,NA,NA,NA
50767,"0.389","4.161","0.025","2.502",NA,NA
50769,NA,NA,NA,NA,NA,NA
50770,"0.785","4.746","0.116","2.294",NA,"2.532"
50771,NA,NA,NA,NA,NA,NA
50772,"0.617","1.711","0.008","0.759","0.015","1.482"
50773,"0.041","4.053",NA,NA,NA,NA
50775,NA,"0.969",NA,"1.528",NA,NA
50776,NA,"1.911",NA,NA,"0.135","2.669"
50777,"0.228","2.439","0.356","3.808","0.023","2.253"
50778,"0.541","1.208",NA,NA,"0.009","0.904"
50779,NA,NA,NA,NA,NA,NA
50780,NA,NA,NA,NA,NA,NA
50782,NA,NA,NA,NA,NA,NA
51300,NA,NA,NA,NA,NA,NA
51301,NA,NA,NA,NA,NA,NA
51303,NA,NA,NA,NA,NA,NA
51304,NA,NA,NA,NA,NA,NA
51305,NA,NA,NA,NA,NA,NA
51306,NA,NA,NA,NA,NA,NA
51307,NA,NA,NA,NA,NA,NA
51309,NA,NA,NA,NA,NA,NA
51310,NA,NA,NA,NA,NA,NA
51311,NA,NA,NA,NA,NA,NA
51312,NA,NA,NA,NA,NA,NA
51314,NA,NA,NA,NA,NA,NA
51315,NA,NA,NA,NA,NA,NA
51316,NA,NA,NA,NA,NA,NA
51317,NA,NA,NA,NA,NA,NA
51318,NA,NA,NA,NA,NA,NA
51319,NA,NA,NA,NA,NA,NA
51320,NA,NA,NA,NA,NA,NA
51321,NA,NA,NA,NA,NA,NA
51323,NA,NA,NA,NA,NA,NA
51324,NA,NA,NA,NA,NA,NA
51325,NA,NA,NA,NA,NA,NA
51326,NA,NA,NA,NA,NA,NA
51327,NA,NA,NA,NA,NA,NA
51328,NA,NA,NA,NA,NA,NA
51329,NA,NA,NA,NA,NA,NA
51330,NA,NA,NA,NA,NA,NA
51332,NA,NA,NA,NA,NA,NA
51335,NA,NA,NA,NA,NA,NA
