"providers","HAI_1_CI_LOWER","HAI_1_CI_UPPER","HAI_3_CI_LOWER","HAI_3_CI_UPPER","HAI_5_CI_LOWER","HAI_5_CI_UPPER"
140239,"0.214","1.292","0.789","4.047",NA,"0.646"
140240,NA,NA,NA,NA,NA,NA
140242,"0.590","1.767","0.586","2.205","0.096","1.898"
140250,"0.008","0.831","0.110","2.172",NA,"1.667"
140251,"0.160","1.713",NA,"1.354","0.026","2.557"
140252,"0.193","2.068","0.125","1.340","0.229","2.451"
140258,"0.284","1.459","0.269","2.041","0.019","1.857"
140275,NA,NA,"0.319","6.287",NA,NA
140276,"0.399","0.908","0.853","2.367","0.342","1.400"
140280,"0.844","3.453","0.286","2.171","0.093","1.828"
140281,"0.621","1.307","0.724","1.945","0.189","0.967"
140286,"0.103","2.034","0.037","3.656",NA,NA
140288,"0.052","1.026","0.229","2.453","0.017","1.657"
140289,"1.761","9.037",NA,"1.246",NA,"2.254"
140290,"0.138","1.046","0.013","1.266","0.014","1.418"
140291,"0.080","1.567","0.433","2.622",NA,"1.748"
140292,NA,"2.600",NA,NA,NA,"2.368"
140294,NA,NA,NA,NA,NA,NA
140300,NA,NA,NA,NA,NA,NA
140304,"0.169","3.322",NA,"1.579","0.039","3.838"
140307,NA,NA,NA,NA,NA,NA
141300,NA,NA,NA,NA,NA,NA
141301,NA,NA,NA,NA,NA,NA
141302,NA,NA,NA,NA,NA,NA
141303,NA,NA,NA,NA,NA,NA
141304,NA,NA,NA,NA,NA,NA
141305,NA,NA,NA,NA,NA,NA
141306,NA,NA,NA,NA,NA,NA
141307,NA,NA,NA,NA,NA,NA
141308,NA,NA,NA,NA,NA,NA
141309,NA,NA,NA,NA,NA,NA
141310,NA,NA,NA,NA,NA,NA
141311,NA,NA,NA,NA,NA,NA
141312,NA,NA,NA,NA,NA,NA
141313,NA,NA,NA,NA,NA,NA
141315,NA,NA,NA,NA,NA,NA
141316,NA,NA,NA,NA,NA,NA
141317,NA,NA,NA,NA,NA,NA
141318,NA,NA,NA,NA,NA,NA
141319,NA,NA,NA,NA,NA,NA
141320,NA,NA,NA,NA,NA,NA
141321,NA,NA,NA,NA,NA,NA
141322,NA,NA,NA,NA,NA,NA
141323,NA,NA,NA,NA,NA,NA
141324,NA,NA,NA,NA,NA,NA
141325,NA,NA,NA,NA,NA,NA
141326,NA,NA,NA,NA,NA,NA
141327,NA,NA,NA,NA,NA,NA
141328,NA,NA,NA,NA,NA,NA
141329,NA,NA,NA,NA,NA,NA
141330,NA,NA,NA,NA,NA,NA
141331,NA,NA,NA,NA,NA,NA
141332,NA,NA,NA,NA,NA,NA
141333,NA,NA,NA,NA,NA,NA
141334,NA,NA,NA,NA,NA,NA
141335,NA,NA,NA,NA,NA,NA
141336,NA,NA,NA,NA,NA,NA
141337,NA,NA,NA,"2.769",NA,NA
141338,NA,NA,NA,NA,NA,NA
141339,NA,NA,NA,NA,NA,NA
141340,NA,NA,NA,NA,NA,NA
141341,NA,NA,NA,NA,NA,NA
141342,NA,NA,NA,NA,NA,NA
141343,NA,NA,NA,NA,NA,NA
141344,NA,NA,NA,NA,NA,NA
141345,NA,NA,NA,NA,NA,NA
141346,NA,NA,NA,NA,NA,NA
141347,NA,NA,NA,NA,NA,NA
141348,NA,NA,NA,NA,NA,NA
141349,NA,NA,NA,NA,NA,NA
141350,NA,NA,NA,NA,NA,NA
141351,NA,NA,NA,NA,NA,NA
150001,NA,NA,NA,NA,NA,NA
150002,"0.683","1.835","0.673","3.456","0.008","0.764"
150004,"0.778","3.518",NA,NA,"1.200","7.258"
150005,NA,NA,NA,"1.838",NA,NA
150006,"0.037","3.689","0.037","3.648",NA,NA
150007,NA,NA,NA,NA,NA,NA
150008,"0.021","2.051","0.047","4.622",NA,"1.934"
150009,NA,"0.809","0.167","3.292","0.034","3.330"
150010,NA,"2.623",NA,"2.716",NA,NA
150011,NA,NA,NA,"2.430",NA,NA
150012,"0.057","1.118","0.202","2.157","0.200","2.140"
150015,"0.020","1.956","0.189","3.718",NA,NA
150017,"0.353","1.239","0.823","2.720","0.043","0.843"
150018,"0.096","1.896",NA,"1.044","0.026","2.567"
150021,"0.216","0.811","0.576","1.656","0.050","0.988"
150022,NA,NA,NA,NA,NA,NA
150023,"0.701","2.201","0.014","1.363",NA,"0.937"
150024,"0.406","1.662","0.202","3.976","1.272","3.812"
150026,"0.027","2.695","1.506","5.285",NA,NA
150030,NA,NA,NA,NA,NA,NA
150034,"0.473","2.864",NA,"1.089","0.021","2.093"
150035,"0.514","2.103","0.145","2.858","0.018","1.823"
150037,NA,NA,NA,"2.030",NA,NA
150042,"0.420","4.496","0.303","3.244","0.177","3.485"
150044,"0.230","1.391","0.076","1.504","0.355","2.694"
150045,NA,NA,NA,NA,NA,NA
150046,"0.446","3.388","0.035","3.425",NA,NA
150047,"0.085","1.671",NA,NA,NA,"2.400"
150048,"0.010","0.968",NA,"1.140",NA,"1.126"
150051,"0.181","1.377","0.301","2.283",NA,"1.070"
150056,"1.065","1.565","0.865","1.873","0.677","1.444"
150057,NA,NA,NA,"1.300",NA,NA
150058,"0.314","1.181","0.617","3.166","0.007","0.703"
150059,NA,"2.303",NA,NA,NA,NA
150061,NA,NA,NA,NA,NA,NA
150064,NA,NA,NA,NA,NA,NA
150065,NA,"1.820","0.033","3.284",NA,NA
150069,NA,NA,NA,NA,NA,NA
150072,NA,NA,NA,NA,NA,NA
150074,"0.831","3.760","0.270","5.312","0.033","3.245"
150075,NA,NA,NA,NA,NA,NA
150076,NA,NA,NA,NA,NA,NA
150082,"0.184","0.752","0.717","2.063","0.296","1.517"
150084,"0.645","1.183","0.264","1.355","0.663","1.680"
150086,"0.177","3.496",NA,NA,NA,NA
150088,"0.217","2.327","0.043","4.219","0.035","3.461"
150089,"0.197","1.012","0.495","2.538","0.561","2.110"
150090,"0.150","2.959",NA,"1.356","0.552","4.191"
150091,NA,NA,NA,NA,NA,NA
150097,NA,NA,NA,NA,NA,NA
150100,"0.323","1.459","0.937","2.940","0.288","2.185"
150101,NA,NA,NA,NA,NA,NA
150102,NA,NA,NA,NA,NA,NA
150104,NA,NA,NA,NA,NA,NA
150109,"0.969","3.399",NA,"1.222","0.309","3.303"
150112,"0.023","2.269","0.391","4.183","0.562","6.008"
150113,"0.114","2.255","0.036","3.564",NA,NA
150115,NA,NA,"0.028","2.769",NA,NA
150125,"0.661","1.676",NA,"0.728","0.087","1.713"
150126,"0.183","1.961","0.021","2.110","0.156","3.069"
150128,"0.359","3.842","0.304","3.255","0.032","3.116"
150133,NA,NA,NA,NA,NA,NA
150146,NA,NA,NA,NA,NA,NA
150149,NA,"1.384",NA,NA,NA,NA
150150,"0.185","3.647",NA,NA,NA,NA
150153,"0.287","1.735",NA,NA,NA,NA
150157,NA,NA,"0.023","2.226",NA,NA
150158,"0.620","6.638","0.200","3.947","1.095","8.311"
150160,NA,NA,NA,NA,NA,NA
150161,"0.132","2.599","0.273","2.917","0.236","4.660"
150162,"0.764","1.991","0.249","1.280","0.735","2.428"
150165,NA,"2.120",NA,NA,NA,NA
150166,NA,NA,NA,NA,NA,NA
150167,NA,NA,NA,NA,NA,NA
150168,NA,NA,NA,NA,NA,NA
150169,"0.800","2.646","1.105","3.067","0.706","3.193"
150172,NA,NA,NA,NA,NA,NA
150173,"0.390","4.174","0.132","2.594","0.014","1.406"
150175,NA,NA,NA,NA,NA,NA
150176,"1.111","8.434",NA,NA,NA,NA
150177,NA,NA,NA,NA,NA,NA
150179,NA,NA,NA,NA,NA,NA
150181,NA,NA,NA,NA,NA,NA
150182,NA,NA,NA,NA,NA,NA
150183,NA,NA,NA,NA,NA,NA
151300,NA,NA,NA,NA,NA,NA
151301,NA,NA,NA,NA,NA,NA
151302,NA,NA,NA,NA,NA,NA
151304,NA,NA,NA,NA,NA,NA
151305,NA,NA,NA,NA,NA,NA
151306,NA,NA,NA,NA,NA,NA
151307,NA,NA,NA,NA,NA,NA
151308,NA,NA,NA,NA,NA,NA
151309,NA,NA,NA,NA,NA,NA
151310,NA,NA,NA,NA,NA,NA
151311,NA,NA,NA,NA,NA,NA
151312,NA,NA,NA,NA,NA,NA
151313,NA,NA,NA,NA,NA,NA
151314,NA,NA,NA,NA,NA,NA
151315,NA,NA,NA,NA,NA,NA
151316,NA,NA,NA,NA,NA,NA
151317,NA,NA,NA,NA,NA,NA
151318,NA,NA,NA,NA,NA,NA
151319,NA,NA,NA,NA,NA,NA
151320,NA,NA,NA,NA,NA,NA
151322,NA,NA,NA,NA,NA,NA
151323,NA,NA,NA,NA,NA,NA
151324,NA,NA,NA,NA,NA,NA
151325,NA,NA,NA,NA,NA,NA
151326,NA,NA,NA,NA,NA,NA
151328,NA,NA,NA,NA,NA,NA
151329,NA,NA,NA,NA,NA,NA
151330,NA,NA,NA,NA,NA,NA
151331,NA,NA,NA,NA,NA,NA
151332,NA,NA,NA,NA,NA,NA
151333,NA,NA,NA,NA,NA,NA
151334,NA,NA,NA,NA,NA,NA
151335,NA,NA,NA,NA,NA,NA
160001,NA,NA,NA,NA,NA,NA
160005,NA,NA,NA,NA,NA,NA
160008,NA,NA,NA,NA,NA,NA
160013,NA,NA,NA,NA,NA,NA
160016,NA,"2.889",NA,NA,NA,NA
160024,NA,"1.632",NA,"2.280","0.024","2.317"
160028,NA,NA,"1.069","6.470",NA,NA
160029,"0.410","4.392","0.243","4.781",NA,NA
160030,"0.037","3.610","0.016","1.548","0.035","3.444"
160032,NA,NA,NA,NA,NA,NA
160033,"0.465","2.388","0.350","2.119","0.202","2.161"
160040,NA,NA,NA,NA,NA,NA
160045,"0.046","0.903","0.333","2.528","0.097","1.906"
160047,NA,"2.761","0.294","5.791",NA,NA
160057,"0.026","2.598","0.144","2.840","0.046","4.537"
160058,"0.620","1.194","0.710","1.970","0.330","0.990"
160064,"0.550","2.250","0.178","3.498","0.148","2.908"
160067,"0.016","1.548","0.577","6.176","0.166","3.281"
160069,NA,"1.185","0.370","3.956",NA,"2.049"
160079,NA,"0.862","0.158","3.111",NA,"1.423"
160080,NA,NA,"0.037","3.645",NA,NA
160082,"0.257","0.901","0.730","1.960","0.322","1.655"
160083,"0.224","0.785","0.521","1.962","0.090","0.686"
160089,NA,NA,NA,NA,NA,NA
160101,NA,"2.472",NA,NA,NA,NA
160104,"0.241","4.757","0.512","3.884",NA,NA
160110,"0.289","2.193","0.250","2.680",NA,"1.950"
160112,NA,NA,"0.299","5.900",NA,NA
160117,NA,NA,NA,"2.224",NA,NA
160122,NA,NA,NA,NA,NA,NA
160124,NA,NA,NA,NA,NA,NA
160146,"0.008","0.750","0.021","2.029","0.021","2.096"
160147,NA,NA,NA,NA,NA,NA
160153,"0.180","1.924",NA,"0.964","0.038","3.717"
161301,NA,NA,NA,NA,NA,NA
161303,NA,NA,NA,NA,NA,NA
161304,NA,NA,NA,NA,NA,NA
161307,NA,NA,NA,NA,NA,NA
161309,NA,NA,NA,NA,NA,NA
161310,NA,NA,NA,NA,NA,NA
161311,NA,NA,NA,NA,NA,NA
161313,NA,NA,NA,NA,NA,NA
161316,NA,NA,NA,NA,NA,NA
161318,NA,NA,NA,NA,NA,NA
161319,NA,NA,NA,NA,NA,NA
161320,NA,NA,NA,NA,NA,NA
161322,NA,NA,NA,NA,NA,NA
161323,NA,NA,NA,NA,NA,NA
161326,NA,NA,NA,NA,NA,NA
161327,NA,NA,NA,NA,NA,NA
161328,NA,NA,NA,NA,NA,NA
161329,NA,NA,NA,NA,NA,NA
161330,NA,NA,NA,NA,NA,NA
161331,NA,NA,NA,NA,NA,NA
161332,NA,NA,NA,NA,NA,NA
161336,NA,NA,NA,NA,NA,NA
161337,NA,NA,NA,NA,NA,NA
161338,NA,NA,NA,NA,NA,NA
161340,NA,NA,NA,NA,NA,NA
161341,NA,NA,NA,NA,NA,NA
161342,NA,NA,NA,NA,NA,NA
161343,NA,NA,NA,NA,NA,NA
161344,NA,NA,NA,NA,NA,NA
161346,NA,NA,NA,NA,NA,NA
161347,NA,NA,NA,NA,NA,NA
161348,NA,NA,NA,NA,NA,NA
161349,NA,NA,NA,NA,NA,NA
161350,NA,NA,NA,NA,NA,NA
161351,NA,NA,NA,NA,NA,NA
161352,NA,NA,NA,NA,NA,NA
161353,NA,NA,NA,NA,NA,NA
161354,NA,NA,NA,NA,NA,NA
161355,NA,NA,NA,NA,NA,NA
161356,NA,NA,NA,NA,NA,NA
161357,NA,NA,NA,NA,NA,NA
161358,NA,NA,NA,NA,NA,NA
161359,NA,NA,NA,NA,NA,NA
161360,NA,NA,NA,NA,NA,NA
161361,NA,NA,NA,NA,NA,NA
161362,NA,NA,NA,NA,NA,NA
161363,NA,NA,NA,NA,NA,NA
161364,NA,NA,NA,NA,NA,NA
161365,NA,NA,NA,NA,NA,NA
161366,NA,NA,NA,NA,NA,NA
161367,NA,NA,NA,NA,NA,NA
161370,NA,NA,NA,NA,NA,NA
161371,NA,NA,NA,NA,NA,NA
161373,NA,NA,NA,NA,NA,NA
161374,NA,NA,NA,NA,NA,NA
161375,NA,NA,NA,NA,NA,NA
161376,NA,NA,NA,NA,NA,NA
161377,NA,NA,NA,NA,NA,NA
161378,NA,NA,NA,NA,NA,NA
161379,NA,NA,NA,NA,NA,NA
161381,NA,NA,NA,NA,NA,NA
170006,"0.029","2.886","1.251","9.497",NA,NA
170009,NA,NA,NA,NA,NA,NA
170012,"0.075","1.484","0.192","3.780","0.029","2.841"
170013,NA,NA,NA,"2.361",NA,NA
170014,NA,NA,NA,NA,NA,NA
170016,"0.123","2.420","0.113","2.231","0.034","3.373"
170017,NA,NA,NA,NA,NA,NA
170020,"0.033","3.228",NA,NA,NA,"2.556"
170023,NA,NA,NA,"2.692",NA,NA
170027,NA,NA,NA,NA,NA,NA
170039,NA,NA,NA,NA,NA,NA
170040,"0.405","0.841","0.601","1.731","0.183","0.828"
170049,"0.059","1.163","0.230","2.464",NA,"1.184"
170058,NA,NA,NA,NA,NA,NA
170068,NA,NA,NA,NA,NA,NA
170074,NA,NA,NA,NA,NA,NA
170075,NA,NA,NA,NA,NA,NA
170086,"0.781","2.035","1.244","3.904","0.281","2.130"
170094,NA,NA,NA,NA,NA,NA
170103,NA,NA,NA,NA,NA,NA
170104,"0.057","1.126","0.212","1.281","0.013","1.310"
170105,NA,NA,NA,NA,NA,NA
170109,NA,NA,NA,NA,NA,NA
170110,NA,NA,NA,NA,NA,NA
170120,NA,NA,NA,NA,NA,NA
170122,"0.509","1.258","1.142","2.975","0.300","1.358"
170123,"0.374","1.121","0.222","1.683","0.300","1.359"
170133,NA,NA,NA,NA,NA,NA
170137,NA,"2.845","0.032","3.203",NA,NA
170142,NA,"1.863","0.599","6.404",NA,NA
170145,NA,NA,NA,NA,NA,NA
170146,"0.474","3.599","0.026","2.605","0.034","3.312"
170150,NA,NA,NA,NA,NA,NA
170166,NA,NA,NA,NA,NA,NA
170175,NA,NA,NA,NA,NA,NA
170176,"0.664","2.717",NA,"1.997","0.140","2.750"
170182,"0.252","2.696","0.329","1.990",NA,"2.082"
170183,NA,NA,NA,NA,NA,NA
170185,NA,"2.623",NA,"2.756",NA,NA
170186,NA,NA,NA,NA,NA,NA
170187,NA,NA,NA,NA,NA,NA
170188,NA,NA,NA,NA,NA,NA
170190,NA,NA,NA,NA,NA,NA
170191,NA,NA,NA,NA,NA,NA
170194,NA,NA,NA,NA,NA,NA
170196,NA,NA,NA,NA,NA,NA
170197,NA,NA,"1.119","8.493",NA,NA
170198,NA,NA,NA,NA,NA,NA
170199,NA,NA,NA,NA,NA,NA
170200,NA,NA,NA,NA,NA,NA
170201,NA,NA,NA,NA,NA,NA
170203,NA,NA,NA,NA,NA,NA
171302,NA,NA,NA,NA,NA,NA
171304,NA,NA,NA,NA,NA,NA
171307,NA,NA,NA,NA,NA,NA
171308,NA,NA,NA,NA,NA,NA
171311,NA,NA,NA,NA,NA,NA
171313,NA,NA,NA,NA,NA,NA
171315,NA,NA,NA,NA,NA,NA
171316,NA,NA,NA,NA,NA,NA
171317,NA,NA,NA,NA,NA,NA
171319,NA,NA,NA,NA,NA,NA
171321,NA,NA,NA,NA,NA,NA
171324,NA,NA,NA,NA,NA,NA
171327,NA,NA,NA,NA,NA,NA
171328,NA,NA,NA,NA,NA,NA
171329,NA,NA,NA,NA,NA,NA
171330,NA,NA,NA,NA,NA,NA
171331,NA,NA,NA,NA,NA,NA
171333,NA,NA,NA,NA,NA,NA
171334,NA,NA,NA,NA,NA,NA
171337,NA,NA,NA,NA,NA,NA
171339,NA,NA,NA,NA,NA,NA
171340,NA,NA,NA,NA,NA,NA
171342,NA,NA,NA,NA,NA,NA
171347,NA,NA,NA,NA,NA,NA
171348,NA,NA,NA,NA,NA,NA
171349,NA,NA,NA,NA,NA,NA
171352,NA,NA,NA,NA,NA,NA
171354,NA,NA,NA,NA,NA,NA
171355,NA,NA,NA,NA,NA,NA
171358,NA,NA,NA,NA,NA,NA
171361,NA,NA,NA,NA,NA,NA
171362,NA,NA,NA,NA,NA,NA
171366,NA,NA,NA,NA,NA,NA
171367,NA,NA,NA,NA,NA,NA
171368,NA,NA,NA,NA,NA,NA
171370,NA,NA,NA,NA,NA,NA
171371,NA,NA,NA,NA,NA,NA
171372,NA,NA,NA,NA,NA,NA
171373,NA,NA,NA,NA,NA,NA
171374,NA,NA,NA,NA,NA,NA
171376,NA,NA,NA,NA,NA,NA
171378,NA,NA,NA,NA,NA,NA
171379,NA,NA,NA,NA,NA,NA
171380,NA,NA,NA,NA,NA,NA
171381,NA,NA,NA,NA,NA,NA
171383,NA,NA,NA,NA,NA,NA
171384,NA,NA,NA,NA,NA,NA
180001,"0.012","1.155","0.018","1.787","0.172","3.394"
180002,NA,NA,NA,NA,NA,NA
180004,NA,NA,NA,NA,NA,NA
180005,"1.362","6.991",NA,NA,NA,NA
180009,"0.310","2.357","0.019","1.826","0.954","3.901"
180010,NA,"0.313",NA,"0.481","0.158","1.694"
180011,"0.034","3.383",NA,NA,NA,NA
180012,"0.132","1.411",NA,"1.045",NA,"1.023"
180013,"0.699","2.312","0.015","1.436","0.267","1.613"
180016,NA,NA,NA,NA,NA,NA
180017,NA,NA,"1.388","8.396","0.044","4.300"
180018,NA,"1.490","1.272","7.696",NA,NA
180019,NA,NA,NA,NA,NA,NA
180020,NA,NA,NA,NA,NA,NA
180021,NA,NA,NA,NA,NA,NA
180024,NA,NA,NA,NA,NA,NA
180025,NA,NA,NA,NA,NA,NA
180027,NA,"2.484",NA,"2.344",NA,NA
180029,"0.017","1.665",NA,NA,"0.879","3.977"
180035,"0.074","0.792","0.450","1.693","0.451","1.844"
180036,"0.025","2.425","0.627","4.762",NA,"1.674"
180038,"0.308","1.393","0.010","0.961","0.058","1.138"
180040,"0.785","1.755","0.423","2.173","0.305","1.246"
180043,NA,NA,NA,NA,NA,NA
180044,"0.018","0.357","0.013","1.295","0.864","2.485"
180045,NA,"0.797","0.015","1.513","0.698","4.222"
180046,NA,NA,NA,NA,NA,NA
180048,"0.117","2.314","0.874","4.483","0.939","7.131"
180049,NA,NA,"0.048","4.761",NA,NA
180050,NA,NA,NA,NA,NA,NA
180051,"1.086","6.569",NA,"2.931",NA,NA
180053,NA,NA,NA,NA,NA,NA
180056,"0.130","2.570",NA,NA,"0.223","4.402"
180064,NA,NA,NA,NA,NA,NA
180066,NA,NA,NA,NA,NA,NA
180067,"0.688","1.213","0.379","1.254","1.010","1.839"
180069,NA,NA,NA,NA,NA,NA
180070,NA,NA,NA,NA,NA,NA
180078,NA,NA,NA,NA,NA,NA
180079,NA,NA,NA,NA,NA,NA
180080,"0.112","2.202","0.212","4.174",NA,"1.119"
180087,NA,NA,"0.160","3.150",NA,NA
180088,"0.553","1.030","1.079","2.139","1.214","2.167"
180092,NA,NA,NA,NA,NA,NA
180093,"0.054","1.055","0.166","3.270","0.202","2.160"
180095,NA,NA,NA,NA,NA,NA
180101,NA,NA,NA,NA,NA,NA
180102,"0.662","2.708","0.028","2.738","0.025","2.473"
180103,"0.110","0.835","0.693","2.077","0.056","1.102"
180104,"0.621","2.538","0.113","2.219","0.413","3.139"
180105,NA,NA,NA,NA,NA,NA
180106,NA,NA,NA,NA,NA,NA
180115,NA,NA,NA,NA,NA,NA
180116,"0.030","2.939",NA,NA,NA,NA
180124,NA,"2.684",NA,"2.027",NA,NA
180127,NA,"1.103","0.342","3.656","0.038","3.719"
180128,NA,NA,NA,NA,NA,NA
180130,"0.322","1.946","0.443","1.668","0.045","0.886"
180132,"0.008","0.798","0.383","4.095","1.111","5.026"
180138,NA,NA,NA,NA,NA,NA
180139,NA,NA,NA,NA,NA,NA
180141,"0.651","1.875","0.592","2.076","1.008","2.706"
180143,"0.195","3.851",NA,"1.236","0.696","5.284"
181305,NA,NA,NA,NA,NA,NA
181306,NA,NA,NA,NA,NA,NA
181308,NA,NA,NA,NA,NA,NA
181310,NA,NA,NA,NA,NA,NA
181311,NA,NA,NA,NA,NA,NA
181314,NA,NA,NA,NA,NA,NA
181317,NA,NA,NA,NA,NA,NA
181318,NA,NA,NA,NA,NA,NA
181322,NA,NA,NA,NA,NA,NA
181324,NA,NA,NA,NA,NA,NA
181328,NA,NA,NA,NA,NA,NA
181329,NA,NA,NA,NA,NA,NA
190002,"0.500","1.438","0.247","1.493","0.514","1.934"
190004,"0.262","2.801","0.023","2.254","0.044","4.307"
190005,"0.551","1.585","1.189","3.192","1.085","4.438"
190006,NA,"2.165","0.235","4.640",NA,NA
190007,NA,NA,NA,NA,NA,NA
190008,NA,"0.671",NA,"1.724",NA,"1.308"
190011,"0.372","3.985",NA,"2.416","0.316","6.222"
190013,NA,NA,"0.229","4.520",NA,NA
190014,NA,NA,NA,"2.632",NA,NA
190015,"0.062","1.213","0.108","2.128","1.036","3.898"
190017,"0.040","3.933",NA,"2.741",NA,NA
190019,"1.034","3.099","0.288","3.086","0.826","3.735"
190020,NA,"1.758",NA,NA,NA,NA
190025,NA,NA,NA,NA,NA,NA
190026,"0.149","0.764","0.467","2.394","1.070","2.789"
190027,"1.608","6.574","0.030","2.967","0.613","6.563"
190034,NA,NA,NA,NA,NA,NA
190036,"0.317","0.720","0.633","1.699","1.118","2.174"
190039,"1.015","2.725","0.201","3.957","0.490","2.967"
190040,"0.225","1.711",NA,"2.088","0.039","3.838"
190041,"0.453","2.740","0.480","2.902","0.027","2.686"
190044,"0.223","4.393","0.045","4.475",NA,NA
190045,"0.158","1.203",NA,"0.673","0.366","2.780"
190046,"0.970","2.605","0.021","2.069","0.225","1.706"
190050,NA,NA,NA,NA,NA,NA
190053,NA,NA,NA,NA,NA,NA
190054,"0.442","4.733","0.025","2.498",NA,NA
190060,"1.013","3.037",NA,"0.693","0.081","1.599"
190064,"0.423","1.329","0.921","2.554","0.679","1.679"
190065,"0.491","2.219","0.628","2.362","0.596","3.058"
190079,NA,NA,NA,NA,NA,NA
190081,NA,NA,NA,NA,NA,NA
190086,"0.046","4.575",NA,NA,NA,NA
190088,NA,NA,NA,NA,NA,NA
190090,NA,NA,NA,NA,NA,NA
190098,"0.538","1.246","0.983","4.021","1.015","2.726"
190099,NA,NA,NA,NA,NA,NA
190102,"0.536","2.751","0.310","1.875","0.850","4.363"
190106,NA,NA,NA,NA,NA,NA
190111,"1.552","2.736","0.218","1.320","0.423","1.327"
190114,NA,NA,NA,NA,NA,NA
190116,NA,NA,NA,NA,NA,NA
190118,NA,NA,NA,NA,NA,NA
190125,"0.207","1.062","0.115","2.270","0.894","3.366"
190128,"0.452","1.846",NA,NA,"0.036","3.548"
190133,NA,NA,NA,NA,NA,NA
190140,NA,NA,NA,NA,NA,NA
190144,NA,NA,NA,NA,NA,NA
190145,NA,NA,NA,NA,NA,NA
190146,"0.116","1.239","0.775","2.915","0.253","1.920"
190151,NA,NA,NA,NA,NA,NA
190160,"0.280","1.438",NA,"1.395","0.347","3.711"
190164,NA,NA,NA,NA,NA,NA
190167,NA,"2.563",NA,NA,NA,NA
190176,"1.517","3.193","0.973","5.886","1.237","3.707"
190177,"0.359","3.842",NA,"1.958","0.475","5.084"
190183,"0.048","4.770","0.038","3.736","0.042","4.124"
190184,NA,NA,NA,NA,NA,NA
190190,NA,NA,NA,NA,NA,NA
190201,NA,NA,NA,NA,NA,NA
190202,"0.020","1.939",NA,"1.828","0.764","5.802"
190204,NA,"1.545","0.145","2.860",NA,NA
190205,"1.033","2.973",NA,NA,NA,NA
190208,NA,NA,NA,NA,NA,NA
190218,NA,NA,NA,NA,NA,NA
190236,"1.427","5.834","0.030","2.920","0.186","3.669"
190241,NA,NA,NA,NA,NA,NA
190242,NA,NA,NA,NA,NA,NA
190245,NA,NA,NA,"2.108",NA,NA
190246,NA,NA,NA,NA,NA,NA
190251,NA,NA,NA,NA,NA,NA
190255,NA,NA,NA,NA,NA,NA
190256,NA,NA,NA,NA,NA,NA
190259,NA,NA,NA,NA,NA,NA
190263,NA,NA,NA,NA,NA,NA
190267,NA,NA,NA,NA,NA,NA
190268,NA,NA,NA,NA,NA,NA
190270,NA,NA,NA,NA,NA,NA
190274,"0.012","1.168","0.923","4.738","0.466","4.982"
190278,NA,NA,NA,NA,NA,NA
190297,NA,NA,NA,NA,NA,NA
190298,NA,NA,NA,NA,NA,NA
190303,NA,NA,NA,NA,NA,NA
190307,NA,NA,NA,NA,NA,NA
190308,NA,NA,NA,NA,NA,NA
190312,NA,NA,NA,NA,NA,NA
190313,NA,NA,NA,NA,NA,NA
191302,NA,NA,NA,NA,NA,NA
191305,NA,NA,NA,NA,NA,NA
191322,NA,NA,NA,NA,NA,NA
191324,NA,NA,NA,NA,NA,NA
200001,NA,NA,NA,"1.355",NA,NA
200008,"0.205","4.049","0.019","1.901",NA,NA
200009,"0.579","1.468","0.393","1.380","0.329","1.237"
200018,NA,NA,NA,NA,NA,NA
200019,"0.028","2.752","0.037","3.613",NA,"2.353"
200020,NA,NA,NA,NA,NA,NA
200021,"0.037","3.664",NA,"1.819",NA,NA
200024,"0.725","2.728","0.338","2.567","0.020","2.004"
200031,NA,NA,NA,"2.802",NA,NA
200033,"0.730","1.806","0.198","1.502","0.142","1.079"
200034,NA,NA,NA,NA,NA,NA
200037,NA,NA,NA,NA,NA,NA
200039,"0.262","1.991","0.761","3.112","0.128","2.518"
200041,NA,NA,NA,NA,NA,NA
200050,NA,NA,NA,NA,NA,NA
200052,NA,NA,NA,NA,NA,NA
200063,NA,NA,NA,NA,NA,NA
201300,NA,NA,NA,NA,NA,NA
201301,NA,NA,NA,NA,NA,NA
201302,NA,NA,NA,NA,NA,NA
201303,NA,NA,NA,NA,NA,NA
201304,NA,NA,NA,NA,NA,NA
201305,NA,NA,NA,NA,NA,NA
201306,NA,NA,NA,NA,NA,NA
201307,NA,NA,NA,NA,NA,NA
201308,NA,NA,NA,NA,NA,NA
201309,NA,NA,NA,NA,NA,NA
201310,NA,NA,NA,NA,NA,NA
201311,NA,NA,NA,NA,NA,NA
201312,NA,NA,NA,NA,NA,NA
201313,NA,NA,NA,NA,NA,NA
201314,NA,NA,NA,NA,NA,NA
201315,NA,NA,NA,NA,NA,NA
210001,"0.802","3.630","0.345","2.623","0.631","3.819"
210002,"0.899","1.474","0.992","2.117","0.963","2.055"
210003,"2.411","4.603",NA,"1.902","0.980","4.434"
210004,"0.843","1.954","0.052","1.024","0.006","0.601"
210005,"0.302","3.232","0.015","1.490","0.478","2.894"
210006,"0.273","5.385",NA,NA,NA,NA
210008,"0.540","1.696","1.014","3.181","0.079","1.561"
210009,"0.999","1.593","0.454","1.361","0.509","1.179"
210011,"0.128","0.973","0.341","2.590","0.265","2.015"
210012,"0.391","1.473","1.069","3.535","0.841","2.520"
210013,"2.305","7.617",NA,NA,"0.964","7.321"
210015,"0.040","0.784","0.428","2.197","0.212","1.281"
